id,x,y,z,label,size
Ice Spice,0.3270522629309779,-0.13876922879945955,-0.1326676014546444,Ice Spice,5
Cash Cobain,0.3691814587107849,-0.1815574691202254,-0.15419725840586665,Cash Cobain,2
Bay Swag,0.37711379298579606,-0.17218784585586738,-0.15613366132362963,Bay Swag,2
JAY-Z,-0.08178475964198509,0.017722045665784593,-0.020439020680900685,JAY-Z,6
Calvin Harris,-0.011228600908172365,0.028598821468220837,-0.13722035113005748,Calvin Harris,10
Paul McCartney,-0.11320854013947358,0.02846956999618474,-0.05262999272654716,Paul McCartney,2
Mikky Ekko,-0.07923727516508881,0.005822343069745857,-0.12034884306234614,Mikky Ekko,1
Ne-Yo,-0.0931592341099099,0.0008408859846832056,-0.11491350504845452,Ne-Yo,1
Selena Gomez,-0.13340059152780526,-0.04075621205801752,-0.0013944229100599206,Selena Gomez,27
A$AP Rocky,-0.13442570880561297,-0.03341571935928378,-0.09807234101572467,A$AP Rocky,2
benny blanco,-0.12844765210119852,-0.03618596516415845,-0.02508278494042855,benny blanco,17
J Balvin,-0.12699996853673073,-0.035206067719478554,-0.04597832716134008,J Balvin,6
Tainy,-0.08834735803995107,-0.011379551207687577,-0.06708572248799224,Tainy,8
Ludacris,-0.007015557902147302,0.16550991124897318,-0.0840213093338811,Ludacris,1
Daniel Caesar,-0.051417021496463905,0.15774798687724353,-0.09946933302723518,Daniel Caesar,2
Jaden,-0.019008343624176166,0.1663991753431661,-0.09608199073715326,Jaden,1
Quavo,-0.015443388983500545,0.10809662463105235,0.009795504951696591,Quavo,4
Big Sean,0.04889696907937425,0.08422423956874957,-0.060287198774354296,Big Sean,4
Shawn Mendes,-0.005322778223899609,0.08056573754290978,-0.10223982925686004,Shawn Mendes,11
Clever,-0.061380800742351756,0.13003130763736803,-0.05972923056701285,Clever,2
Bradley Cooper,-0.12807839454040498,0.14892981729833768,0.10491104486421846,Bradley Cooper,2
Colby O'Donis,-0.13682933392317187,0.1628859940654767,0.1247430650825519,Colby O'Donis,1
Christina Aguilera,-0.14289715971390907,0.1692271512966864,0.11224913111806946,Christina Aguilera,1
Normani,-0.1476505717825103,-0.002495122747158706,-0.22516387941683408,Normani,1
Burna Boy,-0.1359952259766038,0.007232292218255764,-0.2351066018997691,Burna Boy,1
Aitana,-0.12410317078458118,-0.0023607751346452262,-0.24296682358267893,Aitana,1
Alicia Keys,-0.13722743070629703,-0.013635588549732599,-0.23454658716044216,Alicia Keys,1
Labrinth,-0.13644852234333674,-0.03380910725917789,-0.22459580848327368,Labrinth,1
Felix Jaehn,-0.12346012742637477,-0.021103681978665308,-0.24096432275877996,Felix Jaehn,1
Original Koffee,-0.10045164764369643,-0.01373734566328962,-0.24270794843439927,Original Koffee,2
TAEYEON,-0.12231221861770533,-0.0355321754908106,-0.23320760830112963,TAEYEON,1
Hikaru Utada,-0.14697744669786086,-0.0209009981734967,-0.22101869352216524,Hikaru Utada,1
Shakira,-0.12025800611569394,-0.04534099117765977,0.06731221718259599,Shakira,1
Sean Paul,-0.032484857858112184,-0.03112760820204303,0.11214050039254818,Sean Paul,3
BEAM,-0.09864156150184862,-0.05002906410187349,0.07477658128238779,BEAM,1
Shaboozey,-0.10392667664307488,-0.02600799228335163,0.04937764523617681,Shaboozey,3
Linda Martell,-0.0996090390411944,-0.045095726929384405,0.06015255768460377,Linda Martell,2
Tanner Adell,-0.049536589578723714,-0.028794006003535915,0.10981362127219693,Tanner Adell,6
Brittney Spencer,-0.0924353155665826,-0.016085026300015022,0.08938574766438499,Brittney Spencer,4
Tiera Kennedy,-0.08906672339827057,-0.02630911888509975,0.08585627433116806,Tiera Kennedy,4
Reyna Roberts,-0.08315259478796694,-0.01662017110004808,0.08439185290933067,Reyna Roberts,4
Shatta Wale,-0.06720901810085443,-0.0063083545473251535,-0.019283415636043695,Shatta Wale,2
Major Lazer,-0.03782563896155636,0.019377267835170554,-0.059678608453180806,Major Lazer,3
Chimamanda Ngozi Adichie,-0.10634445536833569,-0.058735012418074585,0.055274111010275205,Chimamanda Ngozi Adichie,1
Young Thug,0.032655061565755254,0.11696572643199885,-0.1937142994497537,Young Thug,1
Stryv,0.02703328342239336,0.008610669508125581,-0.17606849453182216,Stryv,5
Keinemusik,0.01592448201820026,0.012216687368088593,-0.17865090353288948,Keinemusik,5
Malachiii,0.02226050545813182,0.0035508071215116354,-0.18222919368027962,Malachiii,5
Orso,0.011404535737515388,0.006217061749481336,-0.18356348805672434,Orso,5
Bazzi,0.03902265223205494,0.08155154075023217,-0.2194379315088594,Bazzi,1
Daddy Yankee,0.026559358229028798,0.09576091212186295,-0.21540564526199,Daddy Yankee,1
Lil Nas X,0.047128611618986536,0.1159646793099251,-0.18521195533417834,Lil Nas X,1
Alejandro Sanz,0.023544947275637374,0.10973334461382823,-0.2048983319623394,Alejandro Sanz,1
Maria Becerra,0.04557690747505739,0.06628498839722992,-0.22081377364685725,Maria Becerra,1
JT,0.05649968092279903,0.10275728773282058,-0.1922791802616115,JT,2
Yung Miami,0.06391046626107538,0.10230904648805327,-0.18173362652495073,Yung Miami,2
Eem Triplin,0.04294975931274015,0.10001928191370746,-0.2075595843068236,Eem Triplin,1
WILLOW,0.16077407770225005,-0.018754575620206836,-0.13794689098034485,WILLOW,2
Myke Towers,-0.04355522652329551,0.01654234081104897,-0.12604526870238283,Myke Towers,2
Mark Ronson,0.057913366714127584,0.08817043141923411,-0.20451532076527462,Mark Ronson,1
Anna Kendrick,0.05906217167684,0.048118294738475134,-0.19795050084679985,Anna Kendrick,5
Justin Timberlake,0.046761716577582345,0.03834848373306204,-0.17165062702153486,Justin Timberlake,8
Eric Andre,0.06588070002633611,0.05413999292743172,-0.1886398944965812,Eric Andre,5
Daveed Diggs,0.06096818620779995,0.06387725045482312,-0.18912159997551117,Daveed Diggs,5
Kid Cudi,0.05448298144630394,0.05762723726077155,-0.19850840273488707,Kid Cudi,5
Camilo,0.013013798213713606,0.14488558219233394,-0.13638235060395437,Camilo,1
The Chainsmokers,0.12628821822485709,0.10232876283795979,-0.24919330629713793,The Chainsmokers,1
Halsey,0.08194999291949578,0.06365037410943687,-0.19748002733102793,Halsey,11
SUGA,0.13059141633303248,0.07411176605251914,-0.2568427930244226,SUGA,1
Lauren Jauregui,0.12239577249168794,0.089003710900451,-0.2592848472480479,Lauren Jauregui,1
ARTY,0.13878580838391696,0.09571045246394964,-0.24052768499389246,ARTY,1
Audien,0.1417191231153834,0.07919971931876668,-0.24452937789359852,Audien,1
ILLENIUM,0.11953632424289533,0.07891344923125351,-0.22982687529792817,ILLENIUM,2
Zara Larsson,0.012060363220715927,0.042243744171230925,0.166748999525182,Zara Larsson,13
Clean Bandit,0.014237955830224835,-0.025544551762936133,0.1525678390805567,Clean Bandit,16
Alesso,0.08751318047266965,0.10808655203104814,0.21489244425300885,Alesso,2
MNEK,-0.005110288604326928,0.0702982587128468,0.23720349107555946,MNEK,1
Kygo,0.012943585795893293,0.08013781372306346,0.15403703261390073,Kygo,3
Ty Dolla $ign,0.046646569634563706,0.03536935709017117,0.1758275469637079,Ty Dolla $ign,4
Don Diablo,0.006025022480656182,0.055156642580426844,0.24254155521587434,Don Diablo,1
Alok,0.08215242029578362,0.027250179504144014,0.10575586543347214,Alok,13
Gorgon City,-0.012418593915167636,0.05682019919287029,0.2369004120114655,Gorgon City,1
Bleachers,-0.1520389152300054,0.23047703374260034,-0.05763972240011219,Bleachers,1
Father John Misty,-0.14454904675557267,0.23973478348549895,-0.04496689032790989,Father John Misty,1
SYML,-0.13936197561642835,0.2406481085528767,-0.06576991392057834,SYML,1
Tommy Genesis,-0.13121777371220297,0.24904982364026232,-0.05183066421556284,Tommy Genesis,1
Conan Gray,-0.10058134753251348,-0.21588639837312829,0.04582680297408861,Conan Gray,2
Lauv,-0.0833648983443595,-0.1751717131836552,0.0379562821289375,Lauv,16
Kehlani,-0.2483499749801998,-0.06720816772732538,0.05653840667143538,Kehlani,1
Stray Kids,-0.24327643864263757,-0.08080940122306551,0.07034354154278159,Stray Kids,1
Wale,-0.23991841449991888,-0.06709866520859807,0.08669765859778385,Wale,1
Wiz Khalifa,-0.0776034826056719,-0.07485963089237495,0.0893002065317359,Wiz Khalifa,3
Sasha Alex Sloan,-0.24675834161647028,-0.06038946116750488,0.07265115369820739,Sasha Alex Sloan,1
blackbear,-0.23565194411401655,-0.09386130732452787,0.06150312836670289,blackbear,1
DROELOE,-0.18980803203251195,-0.06882766580697644,0.015840514011598816,DROELOE,2
Jung Kook,-0.19352461093516243,-0.11659645717880943,0.05549732652127189,Jung Kook,2
BTS,-0.14411587536524453,-0.13737136295580654,0.047909828825751025,BTS,4
Boyz II Men,-0.23442911402527294,-0.08439534236975875,0.08439906972528845,Boyz II Men,1
James Taylor,-0.2436620032431194,-0.08263776724787203,0.04985935687648409,James Taylor,1
Mr. Collipark,-0.19445507408636176,-0.05800787555342608,0.01649284640798877,Mr. Collipark,2
Anne-Marie,0.006713442155589373,-0.0630321468566835,0.16457693675538906,Anne-Marie,45
Shania Twain,-0.0016127478522761512,-0.07514560882301768,0.19993513178729416,Shania Twain,4
Niall Horan,-0.015112885721330531,-0.07917739162004414,0.21944942400511744,Niall Horan,6
Aitch,0.014672998286599792,-0.08737335597672408,0.20047113076981357,Aitch,2
