song_id,primary_artist,community_id,degree
1hCTxutVVYvggAQcUUUZAT,Niall Horan,0,3
3cphb8kdsjElYR7r5icK3H,Niall Horan,0,3
2sGF7DBXvL2GjkbG606m1G,Niall Horan,0,3
6aGwF9D2BqmcSzF0JpfzJu,Niall Horan,0,3
3SRZnA66K77YZbDVJrSHNB,Niall Horan,0,3
2NRpuYVJPYhxC8xyutxkoL,Niall Horan,0,3
4tTb7uAXFqI84T3ZIDBhxf,Niall Horan,0,3
5dTJMpqiELczVuHJP3OAEu,Niall Horan,0,3
3BK5t8Z6AkaeUTdFjehHqy,Niall Horan,0,3
1hJ6KojJObbRvjuVj8Ezya,Niall Horan,0,3
1e9jtpVUszajrfKAJKPvCS,Niall Horan,0,3
7B0jvve829GGdU5kFttQTY,Niall Horan,0,3
4EK3I8YpESBMEKeyc05JRS,Niall Horan,0,3
4aPiQTOqCCeSgfTgCh7SR5,Niall Horan,0,3
0gwfuYQz0TauOajxH2V2Cn,Niall Horan,0,3
3iVmzeoFR0AZrn8EYFnEsB,Niall Horan,0,3
7JyZzz4rMPMWMsb27vArSN,Niall Horan,0,3
63MU2FswcPQclQMxK17Fkb,Niall Horan,0,3
5iSkdzgBBtAAkaqULGPZUd,Niall Horan,0,3
4WZT0Mi3tD0XrYRkkDlxNN,Niall Horan,0,3
27vTihlWXiz9f9lJM3XGVU,Niall Horan,0,3
4HR0snb2H47kBNo39IxrNR,Niall Horan,0,3
6HTDbFiF3c6QFRKkB6DcR4,Niall Horan,0,3
2JL820UpxG8mLGWt1jjNRx,Niall Horan,0,3
3lMIgIO9HkPxnAZGmtTdpT,Niall Horan,0,3
5MhKHO4FYmpfDryQX9408O,Niall Horan,0,3
0z0kUUd2jPQiI2Ob8VXajc,Niall Horan,0,3
2e26qZW3Eglv02vms1uv0X,Niall Horan,0,3
48vIfHaK7by6x0T6ucpODL,Madison Beer,14,10
